firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber
name688,lastname688,March,12,97,BS Management Engineering,+639179414103
name689,lastname689,September,26,99,BS Management Engineering,+639189807439
name690,lastname690,February,9,00,BS Legal Management,+639179781093
name691,lastname691,March,24,01,BS Comtech,+639188954043
name692,lastname692,May,9,97,BS Comtech,+639183504336
name693,lastname693,July,23,98,BS Legal Management,+639178157555
name694,lastname694,October,17,00,BS Management,+639185148276
name695,lastname695,July,23,98,BS Management Engineering,+639181396470
name696,lastname696,August,20,97,BS Management,+639276084332
name697,lastname697,August,8,97,BS Legal Management,+639185577838
name698,lastname698,February,4,98,BS Management,+639179904565
name699,lastname699,October,1,98,BS Management,+639178522643
name700,lastname700,July,10,01,BS Management,+639173492949
name701,lastname701,June,5,99,BS Management,+639177886744
name702,lastname702,May,15,98,BS Comtech,+639183607098
name703,lastname703,June,14,97,BS Legal Management,+639274419452
name704,lastname704,October,14,97,BS Management,+639172212593
name705,lastname705,December,13,98,BS Comtech,+639279393466
name706,lastname706,November,20,01,BS Legal Management,+639175164721
name707,lastname707,December,4,00,BS Management Engineering,+639185464373
name708,lastname708,May,27,97,BS Legal Management,+639278993173
name709,lastname709,November,11,98,BS Management,+639177575871
name710,lastname710,November,9,98,BS Comtech,+639189683488
name711,lastname711,March,4,97,BS Management Engineering,+639183661192
name712,lastname712,July,21,99,BS IT Entrepreneurship,+639279499293
name713,lastname713,February,3,01,BS Management Engineering,+639173238702
name714,lastname714,December,20,98,BS Management,+639182189517
name715,lastname715,May,4,98,BS Management,+639273382750
name716,lastname716,March,12,98,BS Legal Management,+639176638547
name717,lastname717,May,26,99,BS Comtech,+639186564865
name718,lastname718,February,12,97,BS Management,+639186574923
name719,lastname719,September,16,98,BS Legal Management,+639175882431
name720,lastname720,February,2,01,BS Legal Management,+639174964484
name721,lastname721,September,3,99,BS IT Entrepreneurship,+639274762773
name722,lastname722,June,19,99,BS Comtech,+639178583626
name723,lastname723,September,10,99,BS Comtech,+639277877491
name724,lastname724,September,7,01,BS Management,+639175351270
name725,lastname725,January,14,98,BS Management,+639185604115
name726,lastname726,June,23,97,BS Management Engineering,+639181678692
name727,lastname727,February,7,97,BS Management,+639279293994
name728,lastname728,June,13,97,BS Comtech,+639273093402
name729,lastname729,January,24,98,BS Management,+639183548194
name730,lastname730,November,7,99,BS Management,+639171815471
name731,lastname731,October,12,98,BS Management Engineering,+639178021065
name732,lastname732,October,9,99,BS Comtech,+639277524483
name733,lastname733,November,13,99,BS Comtech,+639277514676
name734,lastname734,November,26,98,BS Management,+639183359195
name735,lastname735,February,10,98,BS Management,+639172993945
name736,lastname736,February,13,98,BS Legal Management,+639272111491
name737,lastname737,November,23,01,BS IT Entrepreneurship,+639272167464
name738,lastname738,July,7,00,BS Management Engineering,+639188834422
name739,lastname739,April,12,99,BS Legal Management,+639175855181
name740,lastname740,March,20,98,BS Legal Management,+639173504703
name741,lastname741,September,5,98,BS Comtech,+639177225363
name742,lastname742,September,2,97,BS Management Engineering,+639181987932
name743,lastname743,July,14,98,BS IT Entrepreneurship,+639179546667
name744,lastname744,October,28,97,BS IT Entrepreneurship,+639275097514
name745,lastname745,October,5,98,BS Management,+639277966417
name746,lastname746,December,7,01,BS IT Entrepreneurship,+639276983622
name747,lastname747,December,18,99,BS IT Entrepreneurship,+639187468659
name748,lastname748,April,5,01,BS Management,+639175614001
name749,lastname749,February,17,97,BS Management Engineering,+639271637846
name750,lastname750,December,1,97,BS Management,+639276593077
name751,lastname751,November,19,98,BS IT Entrepreneurship,+639176823751
name752,lastname752,April,11,00,BS Legal Management,+639271112887
name753,lastname753,June,1,00,BS Comtech,+639188094167
name754,lastname754,June,15,00,BS Management,+639173807974
name755,lastname755,June,16,00,BS Management Engineering,+639182348018
name756,lastname756,August,16,99,BS Management,+639177382557
name757,lastname757,December,13,99,BS Management Engineering,+639276656829
name758,lastname758,December,15,98,BS Comtech,+639271039845
name759,lastname759,November,15,99,BS IT Entrepreneurship,+639187161196
name760,lastname760,April,21,97,BS Comtech,+639178892089
name761,lastname761,March,22,98,BS Management,+639175365199
name762,lastname762,January,7,01,BS Management Engineering,+639272013572
name763,lastname763,October,25,98,BS Legal Management,+639277738564
name764,lastname764,April,27,99,BS Legal Management,+639275629584
name765,lastname765,November,21,00,BS Comtech,+639275738454
name766,lastname766,June,13,98,BS IT Entrepreneurship,+639176375575
name767,lastname767,February,14,99,BS Management Engineering,+639272931334
name768,lastname768,April,6,00,BS Legal Management,+639171668658
name769,lastname769,June,28,97,BS IT Entrepreneurship,+639181089862
name770,lastname770,April,4,01,BS Management Engineering,+639172042709
name771,lastname771,December,27,00,BS Management Engineering,+639278826056
name772,lastname772,May,12,97,BS Management Engineering,+639271616194
name773,lastname773,December,1,99,BS Legal Management,+639189066087
name774,lastname774,July,7,99,BS Management Engineering,+639276581298
name775,lastname775,October,3,97,BS IT Entrepreneurship,+639174244286
name776,lastname776,November,16,98,BS Management Engineering,+639189392456
name777,lastname777,December,7,98,BS Legal Management,+639278705781
name778,lastname778,November,19,98,BS IT Entrepreneurship,+639273958840
name779,lastname779,February,26,99,BS Legal Management,+639172706901
name780,lastname780,March,23,99,BS Management,+639179526452
name781,lastname781,June,18,01,BS IT Entrepreneurship,+639274183742
name782,lastname782,January,7,97,BS Management Engineering,+639182338431
name783,lastname783,January,13,01,BS Comtech,+639182197061
name784,lastname784,October,13,98,BS Management,+639272989517
name785,lastname785,November,10,99,BS Comtech,+639188535737
name786,lastname786,January,20,99,BS Management Engineering,+639177316873
name787,lastname787,May,6,99,BS Legal Management,+639279273411
name788,lastname788,December,10,99,BS IT Entrepreneurship,+639183041152
name789,lastname789,June,6,98,BS Management Engineering,+639274794510
name790,lastname790,November,8,99,BS Management Engineering,+639175417757
name791,lastname791,February,2,98,BS Management,+639188921734
name792,lastname792,June,28,98,BS Legal Management,+639175518650
name793,lastname793,January,19,00,BS Management,+639184687521
name794,lastname794,April,17,99,BS Comtech,+639172419293
name795,lastname795,July,20,99,BS Legal Management,+639178057437
name796,lastname796,June,28,98,BS Management,+639274945884
name797,lastname797,September,27,99,BS Management,+639178462976
name798,lastname798,October,8,99,BS Management,+639179827959
name799,lastname799,October,6,97,BS Legal Management,+639177634267
name800,lastname800,October,4,00,BS Management Engineering,+639279259558
name801,lastname801,July,9,98,BS Comtech,+639182228588
name802,lastname802,September,20,00,BS Legal Management,+639174328589
name803,lastname803,September,8,99,BS Management Engineering,+639271411347
name804,lastname804,January,4,00,BS Comtech,+639183354115
name805,lastname805,February,22,99,BS Management,+639276722746
name806,lastname806,September,16,98,BS Management Engineering,+639178945967
name807,lastname807,August,16,99,BS Management,+639172938858
name808,lastname808,February,5,97,BS Legal Management,+639173406918
name809,lastname809,March,16,99,BS Legal Management,+639175424578
name810,lastname810,July,27,01,BS Management,+639274885698
name811,lastname811,September,12,97,BS Legal Management,+639177106722
name812,lastname812,April,3,00,BS IT Entrepreneurship,+639273121350
name813,lastname813,July,22,98,BS IT Entrepreneurship,+639279308635
name814,lastname814,September,24,01,BS Legal Management,+639186746521
name815,lastname815,May,28,97,BS Management,+639173789770
name816,lastname816,October,22,00,BS Management Engineering,+639177447100
name817,lastname817,May,23,00,BS Legal Management,+639276178372
name818,lastname818,May,5,97,BS Management Engineering,+639181147136
name819,lastname819,March,2,00,BS IT Entrepreneurship,+639278422036
name820,lastname820,May,8,01,BS Management,+639173182989
name821,lastname821,December,20,01,BS Management,+639189367960
name822,lastname822,February,28,98,BS Legal Management,+639184177143
name823,lastname823,February,26,98,BS Comtech,+639278924500
name824,lastname824,June,28,97,BS Legal Management,+639184819803
name825,lastname825,December,10,98,BS Management Engineering,+639178193783
name826,lastname826,January,1,98,BS Comtech,+639181262024
name827,lastname827,November,21,97,BS Management,+639275623224
name828,lastname828,July,13,00,BS Management Engineering,+639183087447
name829,lastname829,September,7,01,BS Management,+639174479808
name830,lastname830,August,19,99,BS Management,+639275497794
name831,lastname831,January,2,99,BS IT Entrepreneurship,+639172391786
name832,lastname832,August,20,98,BS Comtech,+639277635312
name833,lastname833,September,15,00,BS IT Entrepreneurship,+639174177432
name834,lastname834,May,15,01,BS Comtech,+639171167049
name835,lastname835,August,25,01,BS Legal Management,+639185736898
name836,lastname836,March,26,01,BS Management Engineering,+639279319624
name837,lastname837,November,14,00,BS Comtech,+639278576715
name838,lastname838,December,13,01,BS Comtech,+639187479833
name839,lastname839,September,3,98,BS Management,+639174944004
name840,lastname840,October,22,98,BS Comtech,+639276778540
name841,lastname841,August,20,99,BS Management,+639177231059
name842,lastname842,July,22,99,BS IT Entrepreneurship,+639274075637
name843,lastname843,April,4,97,BS Management,+639278738336
name844,lastname844,May,28,99,BS Management Engineering,+639172842175
name845,lastname845,September,7,98,BS IT Entrepreneurship,+639184501669
name846,lastname846,September,1,97,BS Legal Management,+639183376525
name847,lastname847,November,15,98,BS Management Engineering,+639279631010
name848,lastname848,August,17,99,BS IT Entrepreneurship,+639187821125
name849,lastname849,September,15,97,BS Comtech,+639271589777
name850,lastname850,November,16,01,BS Management Engineering,+639184542076
name851,lastname851,July,4,97,BS Legal Management,+639186814113
name852,lastname852,July,1,97,BS Legal Management,+639274028839
name853,lastname853,June,21,00,BS Comtech,+639271803943
name854,lastname854,September,6,97,BS IT Entrepreneurship,+639181753354
name855,lastname855,February,23,98,BS Management Engineering,+639178163618
name856,lastname856,May,7,98,BS Management,+639271199872
name857,lastname857,September,13,98,BS Legal Management,+639177953886
name858,lastname858,April,18,00,BS IT Entrepreneurship,+639271066957
name859,lastname859,November,20,01,BS Legal Management,+639185139069
name860,lastname860,April,19,97,BS Management Engineering,+639187135212
name861,lastname861,December,27,98,BS IT Entrepreneurship,+639186854917
name862,lastname862,July,3,98,BS Management,+639275811326
name863,lastname863,February,12,01,BS Management,+639276186967
name864,lastname864,July,12,99,BS Legal Management,+639183571556
name865,lastname865,May,17,01,BS Legal Management,+639176936203
name866,lastname866,May,16,98,BS Legal Management,+639272486994
name867,lastname867,March,28,97,BS IT Entrepreneurship,+639171436591
name868,lastname868,January,11,99,BS Management Engineering,+639172993591
name869,lastname869,July,27,97,BS Comtech,+639275921019
name870,lastname870,January,11,99,BS Comtech,+639181557151
name871,lastname871,July,7,99,BS Comtech,+639174036185
name872,lastname872,March,23,97,BS Comtech,+639174202785
name873,lastname873,May,17,99,BS Management Engineering,+639189663409
name874,lastname874,January,10,98,BS Comtech,+639186466350
name875,lastname875,June,17,01,BS IT Entrepreneurship,+639274005224
name876,lastname876,February,21,01,BS Comtech,+639189086977
name877,lastname877,August,27,01,BS IT Entrepreneurship,+639186389959
name878,lastname878,July,22,99,BS Legal Management,+639186165326
name879,lastname879,December,25,98,BS Management Engineering,+639181397536
name880,lastname880,March,17,98,BS Management Engineering,+639175335972
name881,lastname881,December,2,00,BS IT Entrepreneurship,+639172217566
name882,lastname882,April,5,99,BS Comtech,+639275307214
name883,lastname883,July,4,97,BS Legal Management,+639178689083
name884,lastname884,April,23,00,BS Legal Management,+639186603128
name885,lastname885,December,11,00,BS Management,+639271752972
name886,lastname886,October,26,97,BS Legal Management,+639172768699
name887,lastname887,April,4,00,BS Management Engineering,+639172107063
name888,lastname888,July,2,98,BS Management,+639271273113
name889,lastname889,July,20,01,BS Management,+639179773508
name890,lastname890,November,2,98,BS Management,+639173289205
name891,lastname891,August,13,00,BS Management Engineering,+639188217480
name892,lastname892,March,26,98,BS Management Engineering,+639176892678
name893,lastname893,July,2,98,BS Legal Management,+639275974601
name894,lastname894,March,21,99,BS Legal Management,+639171653793
name895,lastname895,February,14,99,BS IT Entrepreneurship,+639171663062
name896,lastname896,October,10,98,BS Legal Management,+639273469730
name897,lastname897,October,1,00,BS Management,+639189127678
name898,lastname898,April,17,99,BS IT Entrepreneurship,+639171701087
name899,lastname899,August,3,97,BS Management,+639189727480
name900,lastname900,December,4,97,BS Legal Management,+639277009691
name901,lastname901,April,2,01,BS Comtech,+639279928635
name902,lastname902,January,18,01,BS IT Entrepreneurship,+639181012444
name903,lastname903,May,27,97,BS Management,+639181113466
name904,lastname904,December,8,97,BS Management Engineering,+639179913757
name905,lastname905,March,12,99,BS IT Entrepreneurship,+639176074978
name906,lastname906,October,12,98,BS Legal Management,+639189011766
name907,lastname907,July,25,97,BS Comtech,+639177743282
name908,lastname908,January,11,99,BS Comtech,+639181869039
name909,lastname909,December,27,98,BS Comtech,+639189319646
name910,lastname910,September,15,01,BS Comtech,+639189598390
name911,lastname911,November,9,97,BS Management,+639185663286
name912,lastname912,December,1,98,BS Management,+639185994332
name913,lastname913,June,23,99,BS Management,+639275734571
name914,lastname914,March,23,99,BS IT Entrepreneurship,+639177982620
name915,lastname915,April,19,97,BS Legal Management,+639172659185
name916,lastname916,January,24,97,BS Comtech,+639277531533
name917,lastname917,August,17,01,BS IT Entrepreneurship,+639175883224
name918,lastname918,November,9,97,BS Legal Management,+639188702621
name919,lastname919,March,18,97,BS Comtech,+639189826506
name920,lastname920,November,12,00,BS Management Engineering,+639177106432
name921,lastname921,July,21,01,BS Management,+639276893928
name922,lastname922,May,25,00,BS Legal Management,+639187237128
name923,lastname923,January,17,01,BS Management,+639271881317
name924,lastname924,July,14,97,BS Comtech,+639177519632
name925,lastname925,November,4,99,BS Comtech,+639174097669
name926,lastname926,April,24,98,BS IT Entrepreneurship,+639187771156
name927,lastname927,July,28,97,BS Management Engineering,+639183902146
name928,lastname928,February,13,97,BS Management Engineering,+639186755512
name929,lastname929,November,21,99,BS IT Entrepreneurship,+639184507839
name930,lastname930,November,25,99,BS Management Engineering,+639279505397
name931,lastname931,March,16,98,BS Management,+639174097205
name932,lastname932,August,5,99,BS Management,+639277689251
name933,lastname933,June,12,99,BS Legal Management,+639278601383
name934,lastname934,July,28,00,BS Management Engineering,+639279662788
name935,lastname935,August,24,99,BS Comtech,+639185975321
name936,lastname936,November,2,00,BS Legal Management,+639187201768
name937,lastname937,January,8,98,BS Management,+639185823906
name938,lastname938,January,22,00,BS Management Engineering,+639181843212
name939,lastname939,April,17,97,BS Management Engineering,+639172715839
name940,lastname940,June,6,98,BS Management,+639179777795
name941,lastname941,July,21,99,BS Management Engineering,+639171656593
name942,lastname942,August,14,00,BS Comtech,+639172232556
name943,lastname943,April,24,99,BS Comtech,+639277707950
name944,lastname944,November,13,98,BS Comtech,+639276646148
name945,lastname945,November,2,99,BS IT Entrepreneurship,+639278905180
name946,lastname946,September,20,98,BS Management Engineering,+639276444841
name947,lastname947,September,27,99,BS Management Engineering,+639175051295
name948,lastname948,July,9,98,BS IT Entrepreneurship,+639179066791
name949,lastname949,August,7,00,BS Management Engineering,+639173746420
name950,lastname950,July,15,97,BS Management,+639272951812
name951,lastname951,August,20,00,BS Management Engineering,+639176898285
name952,lastname952,April,7,98,BS Legal Management,+639186784969
name953,lastname953,July,16,01,BS Legal Management,+639182949247
name954,lastname954,April,23,00,BS Comtech,+639187807638
name955,lastname955,November,4,98,BS IT Entrepreneurship,+639187601168
name956,lastname956,November,16,97,BS Legal Management,+639273739248
name957,lastname957,March,15,97,BS Management,+639185019104
name958,lastname958,June,23,99,BS Comtech,+639173169587
name959,lastname959,November,1,97,BS Management Engineering,+639272342768
name960,lastname960,August,5,98,BS Management,+639189492654
name961,lastname961,October,28,97,BS Management Engineering,+639178152634
name962,lastname962,June,24,98,BS IT Entrepreneurship,+639277729962
name963,lastname963,December,25,97,BS IT Entrepreneurship,+639173094471
name964,lastname964,March,24,00,BS Comtech,+639177493301
name965,lastname965,July,21,97,BS Comtech,+639273842721
name966,lastname966,November,15,99,BS IT Entrepreneurship,+639172378133
name967,lastname967,March,26,99,BS IT Entrepreneurship,+639279644299
name968,lastname968,March,19,00,BS Comtech,+639172409076
name969,lastname969,June,2,98,BS IT Entrepreneurship,+639171769439
name970,lastname970,July,9,97,BS Management Engineering,+639271009164
name971,lastname971,April,9,98,BS Management Engineering,+639277308393
name972,lastname972,November,28,99,BS Comtech,+639173895738
name973,lastname973,May,25,97,BS Management Engineering,+639176345100
name974,lastname974,December,20,01,BS IT Entrepreneurship,+639273571836
name975,lastname975,March,11,00,BS Management Engineering,+639178684656
name976,lastname976,November,7,99,BS Legal Management,+639189187519
name977,lastname977,March,21,99,BS Management Engineering,+639186328482
name978,lastname978,November,25,97,BS Management Engineering,+639175256204
name979,lastname979,September,23,98,BS Management,+639277651941
name980,lastname980,December,14,01,BS Legal Management,+639186064478
name981,lastname981,March,10,99,BS Comtech,+639277608017
name982,lastname982,June,21,00,BS Legal Management,+639178293943
name983,lastname983,March,24,99,BS Legal Management,+639176621872
name984,lastname984,July,22,99,BS Legal Management,+639172837138
name985,lastname985,November,17,01,BS Comtech,+639272541823
name986,lastname986,February,28,00,BS Comtech,+639176281470
name987,lastname987,January,13,97,BS Management,+639271477217
name988,lastname988,December,27,97,BS Legal Management,+639173144815
name989,lastname989,February,26,99,BS Management Engineering,+639181683635
name990,lastname990,October,4,98,BS Management,+639183139787
name991,lastname991,November,22,00,BS Management,+639271174649
name992,lastname992,August,14,99,BS Legal Management,+639275288069
name993,lastname993,July,5,00,BS Management,+639188518170
name994,lastname994,May,20,98,BS Management Engineering,+639277933024
name995,lastname995,June,11,99,BS IT Entrepreneurship,+639278716633
name996,lastname996,May,4,98,BS Legal Management,+639271598838
name997,lastname997,September,24,97,BS Management,+639183332036
name998,lastname998,March,4,99,BS Comtech,+639171161724
name999,lastname999,January,11,99,BS Management,+639179971830
name1000,lastname1000,July,24,98,BS Legal Management,+639277892057
name1001,lastname1001,October,13,99,BS Legal Management,+639182265829
name1002,lastname1002,January,16,97,BS IT Entrepreneurship,+639171895851
name1003,lastname1003,July,1,99,BS IT Entrepreneurship,+639175775113
name1004,lastname1004,June,8,97,BS Management Engineering,+639186332873
name1005,lastname1005,January,14,00,BS Management,+639181074666
name1006,lastname1006,March,23,99,BS IT Entrepreneurship,+639175751571
name1007,lastname1007,September,14,97,BS Management,+639186739002
name1008,lastname1008,May,13,98,BS Comtech,+639274557889
name1009,lastname1009,February,23,98,BS Management,+639187901682
name1010,lastname1010,May,25,99,BS Management,+639172547870
name1011,lastname1011,April,9,99,BS Legal Management,+639186526097
name1012,lastname1012,May,14,97,BS Management,+639171201564
name1013,lastname1013,September,8,97,BS Management,+639278788766
name1014,lastname1014,May,1,01,BS Management Engineering,+639185243684
name1015,lastname1015,March,10,97,BS Legal Management,+639172094854
name1016,lastname1016,April,16,97,BS Comtech,+639176108591
name1017,lastname1017,January,17,98,BS Comtech,+639181988897
name1018,lastname1018,February,21,97,BS Management,+639174707921
name1019,lastname1019,July,16,01,BS Management,+639174153731
name1020,lastname1020,March,13,99,BS Management,+639174212734
name1021,lastname1021,May,20,98,BS IT Entrepreneurship,+639172865078
name1022,lastname1022,December,4,97,BS IT Entrepreneurship,+639188196422
name1023,lastname1023,June,28,00,BS Legal Management,+639184233021
name1024,lastname1024,September,9,98,BS Management Engineering,+639177203510
name1025,lastname1025,March,8,99,BS Comtech,+639187486951
name1026,lastname1026,January,15,98,BS Management,+639274267423
name1027,lastname1027,January,14,99,BS Management Engineering,+639275568003
name1028,lastname1028,June,28,99,BS Management,+639275711913
name1029,lastname1029,September,11,99,BS Comtech,+639271207807
name1030,lastname1030,April,7,01,BS Legal Management,+639173276289
name1031,lastname1031,August,21,99,BS IT Entrepreneurship,+639184464044
name1032,lastname1032,December,26,99,BS Comtech,+639179599685
name1033,lastname1033,May,16,98,BS Comtech,+639183717071
name1034,lastname1034,December,15,00,BS Management,+639277771235
name1035,lastname1035,June,1,99,BS Comtech,+639186576901
name1036,lastname1036,June,3,00,BS Management,+639274656997
name1037,lastname1037,January,19,01,BS IT Entrepreneurship,+639187778386
name1038,lastname1038,January,22,99,BS Management Engineering,+639185918053
name1039,lastname1039,January,16,00,BS Management Engineering,+639176045494
name1040,lastname1040,December,6,97,BS Management Engineering,+639186315507
name1041,lastname1041,February,12,98,BS Comtech,+639178033974
name1042,lastname1042,December,24,97,BS Legal Management,+639188216331
name1043,lastname1043,March,13,99,BS Comtech,+639277602707
name1044,lastname1044,July,2,97,BS IT Entrepreneurship,+639183499660
name1045,lastname1045,May,21,97,BS Comtech,+639277135773
name1046,lastname1046,May,22,01,BS Management,+639172144255
name1047,lastname1047,May,25,98,BS Legal Management,+639183403323
name1048,lastname1048,March,25,98,BS Management Engineering,+639273974986
name1049,lastname1049,February,1,97,BS Management Engineering,+639176689753
name1050,lastname1050,July,28,98,BS IT Entrepreneurship,+639174676080
name1051,lastname1051,June,9,01,BS Management Engineering,+639273712566
name1052,lastname1052,April,6,97,BS Legal Management,+639172275205
name1053,lastname1053,April,9,00,BS IT Entrepreneurship,+639171059613
name1054,lastname1054,November,7,98,BS Management Engineering,+639183397033
name1055,lastname1055,August,23,99,BS Comtech,+639189598550
name1056,lastname1056,April,6,99,BS IT Entrepreneurship,+639183547812
name1057,lastname1057,February,28,01,BS Management Engineering,+639185144755
name1058,lastname1058,November,12,01,BS Legal Management,+639271978951
name1059,lastname1059,April,11,98,BS IT Entrepreneurship,+639186804779
name1060,lastname1060,July,1,00,BS Comtech,+639186456025
name1061,lastname1061,May,24,97,BS Comtech,+639173713839
name1062,lastname1062,July,19,98,BS Management Engineering,+639273617293
name1063,lastname1063,January,13,97,BS IT Entrepreneurship,+639181821959
name1064,lastname1064,March,7,00,BS Comtech,+639178184976
name1065,lastname1065,April,8,99,BS Management,+639182473215
name1066,lastname1066,January,28,97,BS Management Engineering,+639273443571
name1067,lastname1067,October,3,99,BS Legal Management,+639175575859
name1068,lastname1068,July,4,97,BS Comtech,+639187053092
name1069,lastname1069,May,23,99,BS IT Entrepreneurship,+639183506711
name1070,lastname1070,February,18,99,BS IT Entrepreneurship,+639185697640
name1071,lastname1071,January,14,99,BS Comtech,+639184745680
name1072,lastname1072,August,13,99,BS Comtech,+639184412380
name1073,lastname1073,October,1,97,BS IT Entrepreneurship,+639173339074
name1074,lastname1074,February,26,98,BS Management,+639272315102
name1075,lastname1075,August,22,00,BS Comtech,+639187729445
name1076,lastname1076,June,19,98,BS IT Entrepreneurship,+639277677062
name1077,lastname1077,August,1,97,BS Comtech,+639172224027
name1078,lastname1078,August,18,98,BS Management,+639173726091
name1079,lastname1079,October,7,99,BS Management Engineering,+639185988688
name1080,lastname1080,November,17,00,BS Management Engineering,+639275008664
name1081,lastname1081,December,5,99,BS Management Engineering,+639279043251
name1082,lastname1082,January,28,00,BS Management Engineering,+639188538895
name1083,lastname1083,December,15,98,BS IT Entrepreneurship,+639188674047
name1084,lastname1084,February,27,99,BS Management,+639277805516
name1085,lastname1085,June,28,01,BS Comtech,+639177398316
name1086,lastname1086,April,28,97,BS Management,+639172578186
name1087,lastname1087,March,28,98,BS Management Engineering,+639276927290
name1088,lastname1088,September,5,99,BS IT Entrepreneurship,+639273041355
name1089,lastname1089,April,25,99,BS Comtech,+639189558221
name1090,lastname1090,July,27,00,BS Comtech,+639186132252
name1091,lastname1091,February,24,99,BS Management,+639277408593
name1092,lastname1092,February,17,00,BS Management Engineering,+639276581569
name1093,lastname1093,May,23,97,BS Management Engineering,+639273256671
name1094,lastname1094,June,25,00,BS Management Engineering,+639178578412
name1095,lastname1095,January,26,97,BS IT Entrepreneurship,+639173433386
name1096,lastname1096,July,21,01,BS IT Entrepreneurship,+639278624541
name1097,lastname1097,July,2,00,BS IT Entrepreneurship,+639186459539
name1098,lastname1098,January,15,99,BS Management Engineering,+639273818143
name1099,lastname1099,March,22,01,BS Management,+639182424918
name1100,lastname1100,November,19,97,BS Legal Management,+639183526064
name1101,lastname1101,April,5,00,BS IT Entrepreneurship,+639172256387
name1102,lastname1102,May,14,99,BS Legal Management,+639273579725
name1103,lastname1103,June,4,01,BS Management Engineering,+639178115416
name1104,lastname1104,December,12,99,BS Comtech,+639271552357
name1105,lastname1105,March,23,99,BS Management Engineering,+639276597601
name1106,lastname1106,October,26,98,BS Legal Management,+639175799310
name1107,lastname1107,December,14,00,BS Management,+639188995954
name1108,lastname1108,April,21,97,BS IT Entrepreneurship,+639185972109
name1109,lastname1109,August,18,97,BS Management,+639273312469
name1110,lastname1110,November,23,97,BS Comtech,+639278574325
name1111,lastname1111,March,17,01,BS Comtech,+639177456591
name1112,lastname1112,February,25,98,BS Legal Management,+639278204602
name1113,lastname1113,June,8,97,BS IT Entrepreneurship,+639175413617
name1114,lastname1114,June,16,98,BS IT Entrepreneurship,+639175614702
name1115,lastname1115,February,25,97,BS Management Engineering,+639171034403
name1116,lastname1116,January,4,99,BS Management,+639174728417
name1117,lastname1117,April,25,01,BS IT Entrepreneurship,+639189628354
name1118,lastname1118,July,23,98,BS Management,+639277804566
name1119,lastname1119,July,17,01,BS IT Entrepreneurship,+639185309778
name1120,lastname1120,March,10,99,BS Management,+639185014512
name1121,lastname1121,December,17,98,BS Legal Management,+639184394303
name1122,lastname1122,January,3,98,BS Legal Management,+639173108397
name1123,lastname1123,September,2,01,BS Legal Management,+639176863457
name1124,lastname1124,January,1,98,BS Management Engineering,+639279952764
name1125,lastname1125,June,20,99,BS IT Entrepreneurship,+639273251153
name1126,lastname1126,May,2,98,BS Management,+639273837195
name1127,lastname1127,July,28,99,BS IT Entrepreneurship,+639178596198
name1128,lastname1128,February,16,01,BS Comtech,+639186339731
name1129,lastname1129,January,17,98,BS IT Entrepreneurship,+639175889566
name1130,lastname1130,November,14,97,BS Legal Management,+639277773805
name1131,lastname1131,December,6,98,BS Legal Management,+639188223585
name1132,lastname1132,June,12,97,BS Legal Management,+639182607816
name1133,lastname1133,May,26,98,BS Comtech,+639173672891
name1134,lastname1134,June,26,98,BS Management,+639273939901
name1135,lastname1135,October,23,00,BS IT Entrepreneurship,+639174313651
name1136,lastname1136,August,12,98,BS IT Entrepreneurship,+639274046189
name1137,lastname1137,March,2,01,BS IT Entrepreneurship,+639174216329
name1138,lastname1138,January,27,98,BS Legal Management,+639186613666
name1139,lastname1139,March,7,99,BS IT Entrepreneurship,+639172681923
name1140,lastname1140,July,10,97,BS Comtech,+639188257903
name1141,lastname1141,August,8,97,BS Management Engineering,+639279258074
name1142,lastname1142,January,13,98,BS IT Entrepreneurship,+639188873826
name1143,lastname1143,January,22,01,BS Management,+639171981630
name1144,lastname1144,March,5,97,BS Comtech,+639185988378
name1145,lastname1145,March,26,01,BS Management Engineering,+639185314245
name1146,lastname1146,January,3,99,BS Management Engineering,+639272133415
name1147,lastname1147,December,18,98,BS Comtech,+639273049604
name1148,lastname1148,May,23,99,BS Management,+639173743789
name1149,lastname1149,August,9,97,BS Legal Management,+639272652172
name1150,lastname1150,February,22,98,BS Management,+639181163123
name1151,lastname1151,May,13,99,BS IT Entrepreneurship,+639174439793
name1152,lastname1152,September,22,98,BS Management Engineering,+639272637472
name1153,lastname1153,May,2,97,BS Management Engineering,+639177288061
name1154,lastname1154,April,13,99,BS Management,+639187317945
name1155,lastname1155,September,10,97,BS Comtech,+639174808509
name1156,lastname1156,March,17,98,BS IT Entrepreneurship,+639176169950
name1157,lastname1157,April,12,00,BS IT Entrepreneurship,+639182345209
name1158,lastname1158,June,14,01,BS IT Entrepreneurship,+639183895381
name1159,lastname1159,December,13,99,BS Legal Management,+639177111400
name1160,lastname1160,March,6,98,BS IT Entrepreneurship,+639171319290
name1161,lastname1161,June,21,01,BS Comtech,+639278431852
name1162,lastname1162,July,25,97,BS IT Entrepreneurship,+639271873418
name1163,lastname1163,December,6,99,BS Comtech,+639179223662
name1164,lastname1164,February,23,97,BS Comtech,+639271811014
name1165,lastname1165,January,12,98,BS Management,+639183066443
name1166,lastname1166,November,16,01,BS Management,+639178575459
name1167,lastname1167,January,6,99,BS Management Engineering,+639174809480
name1168,lastname1168,August,10,98,BS IT Entrepreneurship,+639189651161
